uid,follower_uid
0331df114ef9,f6a1da9e721a
0331df114ef9,ffd7ec7c1a97
03347d1f6e11,25910735939a
03347d1f6e11,260477a597ad
03347d1f6e11,34ea1b3a79b8
03347d1f6e11,3b126e417f47
03347d1f6e11,62bbddebb927
03347d1f6e11,71c02fe56b36
03347d1f6e11,8268b5dd451e
03347d1f6e11,878dadba174e
03347d1f6e11,9bc5fa24da55
0339e554ee31,239dd3e3917b
0339e554ee31,2b2b0c253084
0339e554ee31,336b83a606b8
0339e554ee31,7efa94e16e71
0339e554ee31,93a2305b1704
0339e554ee31,97f81f780b5d
0339e554ee31,e192f3077231
0339e554ee31,e2d8c72636d9
0339e554ee31,f14628b1c54c
0343ffc99e09,26aa6368e2b1
0343ffc99e09,4375741f9057
0343ffc99e09,4e4316d3e8eb
0343ffc99e09,7db81d18fd6b
0343ffc99e09,908f1336289f
0343ffc99e09,94c2231ae826
0343ffc99e09,a8cdf90d0743
0343ffc99e09,b36374a26f90
0343ffc99e09,f72b4d02c403
035ed19c2213,014c8b2ac4f1
035ed19c2213,3e85e688d3d1
035ed19c2213,434144a8d475
035ed19c2213,4543619de57f
035ed19c2213,569b431218fb
035ed19c2213,83ca4e34287a
035ed19c2213,e6f2e48f8845
035ed19c2213,f01647943832
035ed19c2213,fcfb8726de34
0365d7bef6ed,0f7a25ae93f4
0365d7bef6ed,1611ece0d2e3
0365d7bef6ed,5fe19e49964a
0365d7bef6ed,7a39fa2ef8e8
0365d7bef6ed,8f95e7cb1115
0365d7bef6ed,92d2863f1ca7
0365d7bef6ed,c8899c0185f2
0365d7bef6ed,ddb491d9964b
0365d7bef6ed,e51ea9d16a4e
0372ab113946,1311865b61ce
0372ab113946,1cfc22a555c4
0372ab113946,3869bdf47473
0372ab113946,7a0bc18daca7
0372ab113946,bc730e265304
0372ab113946,be8f0eca9257
0372ab113946,c7786d0a6eae
0372ab113946,d4ae8dfe7558
0372ab113946,db74f07880c9
0375336e8f66,0bff7120910a
0375336e8f66,47cb9f15a5c7
0375336e8f66,581704454b1b
0375336e8f66,655652b8bf73
0375336e8f66,8c58c99dfb8b
0375336e8f66,aef255fa9bf4
0375336e8f66,ba70fc85f585
0375336e8f66,cab670a79ee6
0375336e8f66,d1c27f8e27e1
037c5d46fb31,0e1b8e933812
037c5d46fb31,3e081e987791
037c5d46fb31,49269853cb1c
037c5d46fb31,7a0e205ad072
0389fade1208,07fbd3c9d4b9
0389fade1208,3495c11790ba
0389fade1208,8356ada0235a
0389fade1208,a9f699ffaf0d
0389fade1208,acf84e08eb0c
0389fade1208,be617723dcfd
0389fade1208,eb86b92f9080
0389fade1208,f0cb139fdd8d
0389fade1208,fa1d0896d947
0391dc5aad47,631d7cba12f6
0391dc5aad47,66bd7faba05a
0391dc5aad47,735d83436a1c
0391dc5aad47,75d4d54568e6
0391dc5aad47,8be96b3b9a31
0391dc5aad47,deb125e233e5
0391dc5aad47,f37d52e511de
0391dc5aad47,fb58fa7fa0ba
0391dc5aad47,fb9d89d8f07b
039783cfec2c,3a1877f66df6
039783cfec2c,3dd24fdb5b37
039783cfec2c,5bbfd611852a
039783cfec2c,64f14198404f
039783cfec2c,831191fa62a2
039783cfec2c,a2ad4d9f62fe
039783cfec2c,c7e113f82f7a
039783cfec2c,d0d12a0c75c8
039783cfec2c,fab77a06e90b
0397ef366087,23571651702b
0397ef366087,51d90ddce5af
0397ef366087,580f10aa7919
0397ef366087,6c6d1d8682b2
0397ef366087,7cb50eb747d0
0397ef366087,806f4f875781
0397ef366087,bb8edeb8079b
0397ef366087,ce013d0881f8
03a2edf8ee6d,0ab6bb8c71af
03a2edf8ee6d,20d080372f77
03a2edf8ee6d,4a8fd0150466
03a2edf8ee6d,708b6df35bfc
03a2edf8ee6d,7841fd9b597b
03a2edf8ee6d,82ddf7198027
03a2edf8ee6d,927068e4d03c
03a2edf8ee6d,9aabde135174
03a2edf8ee6d,d65ec3db8a51
03b5bd603272,0833017bc7d4
03b5bd603272,6b7f180176a3
03b5bd603272,a45b8c9c95a8
03b5bd603272,f3d7b456c5cf
03b74026f48e,24e86e048bed
03b74026f48e,2cfc9a227274
03b74026f48e,3a72f33b8fd8
